Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"6.77300","0.00000","3.36491"
"6.78300","0.00000","3.32514"
"6.79300","0.00000","3.27882"
"6.80300","0.00000","3.22520"
"6.81300","0.00000","3.17254"
"6.82300","0.00000","3.12391"
"6.83300","0.00000","3.07780"
"6.84300","0.00000","3.02815"
"6.85300","0.00000","2.97620"
"6.86300","0.00000","2.92728"
"6.87300","0.00000","2.88460"
"6.88300","0.00000","2.84484"
"6.89300","0.00000","2.80037"
"6.90300","0.00000","2.75222"
"6.91300","0.00000","2.70076"
"6.92300","0.00000","2.64518"
"6.93300","0.00000","2.59019"
"6.94300","0.00000","2.54129"
"6.95300","0.00000","2.50462"
"6.96300","0.00000","2.46929"
"6.97300","0.00000","2.42328"
"6.98300","0.00000","2.36820"
"6.99300","0.00000","2.31028"
"7.00300","0.00000","2.25462"
"7.01300","0.00000","2.20298"
"7.02300","0.00000","2.15845"
"7.03300","0.00000","2.11945"
"7.04300","0.00000","2.08026"
"7.05300","0.00000","2.03568"
"7.06300","0.00000","1.98389"
"7.07300","0.00000","1.92911"
"7.08300","0.00000","1.87509"
"7.09300","0.00000","1.82565"
"7.10300","0.00000","1.77637"
"7.11300","0.00000","1.72682"
"7.12300","0.00000","1.68507"
"7.13300","0.00000","1.64661"
"7.14300","0.00000","1.60355"
"7.15300","0.00000","1.55266"
"7.16300","0.00000","1.49485"
"7.17300","0.00000","1.43758"
"7.18300","0.00000","1.38546"
"7.19300","0.00000","1.33704"
"7.20300","0.00000","1.29477"
"7.21300","0.00000","1.25579"
"7.22300","0.00000","1.21367"
"7.23300","0.00000","1.16278"
"7.24300","0.00000","1.10944"
"7.25300","0.00000","1.05676"
"7.26300","0.00000","1.00841"
"7.27300","0.00000","0.96600"
"7.28300","0.00000","0.92138"
"7.29300","0.00000","0.87201"
"7.30300","0.00000","0.82058"
"7.31300","0.00000","0.76935"
"7.32300","0.00000","0.71999"
"7.33300","0.00000","0.67440"
"7.34300","0.00000","0.63060"
"7.35300","0.00000","0.58382"
"7.36300","0.00000","0.53543"
"7.37300","0.00000","0.48567"
"7.38300","0.00000","0.43839"
"7.39300","0.00000","0.39500"
"7.40300","0.00000","0.35091"
"7.41300","0.00000","0.30135"
"7.42300","0.00000","0.24277"
"7.43300","0.00000","0.18283"
"7.44300","0.00000","0.13093"
"7.45300","0.00000","0.08979"
"7.46300","0.00000","0.05080"
"7.47300","0.00000","0.00891"
"7.48300","0.00000","-0.03447"
"7.49300","0.00000","-0.08803"
"7.50300","0.00000","-0.14627"
"7.51300","0.00000","-0.20298"
"7.52300","0.00000","-0.25279"
"7.53300","0.00000","-0.29463"
"7.54300","0.00000","-0.33364"
"7.55300","0.00000","-0.37511"
"7.56300","0.00000","-0.42379"
"7.57300","0.00000","-0.47534"
"7.58300","0.00000","-0.52464"
"7.59300","0.00000","-0.57382"
"7.60300","0.00000","-0.62400"
"7.61300","0.00000","-0.67496"
"7.62300","0.00000","-0.72112"
"7.63300","0.00000","-0.76304"
"7.64300","0.00000","-0.80555"
"7.65300","0.00000","-0.84931"
"7.66300","0.00000","-0.89778"
"7.67300","0.00000","-0.95255"
"7.68300","0.00000","-1.00925"
"7.69300","0.00000","-1.06315"
"7.70300","0.00000","-1.10672"
"7.71300","0.00000","-1.14078"
"7.72300","0.00000","-1.17214"
"7.73300","0.00000","-1.21310"
"7.74300","0.00000","-1.26573"
"7.75300","0.00000","-1.32540"
"7.76300","0.00000","-1.38583"
"7.77300","0.00000","-1.43870"
"7.78300","0.00000","-1.48204"
"7.79300","0.00000","-1.51654"
"7.80300","0.00000","-1.55294"
"7.81300","0.00000","-1.59995"
"7.82300","0.00000","-1.65295"
"7.83300","0.00000","-1.70656"
